Date,BTCB-USD
2023-09-26,26217.73828125
2023-09-27,26311.00390625
2023-09-28,27018.529296875
2023-09-29,26899.4140625
2023-09-30,26915.861328125
2023-10-01,27910.900390625
2023-10-02,27571.98828125
2023-10-03,27419.6015625
2023-10-04,27757.2734375
2023-10-05,27449.923828125
2023-10-06,27962.46875
2023-10-07,27923.93359375
2023-10-08,27910.27734375
2023-10-09,27603.892578125
2023-10-10,27407.8046875
2023-10-11,26826.3046875
2023-10-12,26748.537109375
2023-10-13,26842.216796875
2023-10-14,26869.28125
2023-10-15,27132.283203125
2023-10-16,28506.90625
2023-10-17,28447.5703125
2023-10-18,28307.388671875
2023-10-19,28652.6015625
2023-10-20,29658.46484375
2023-10-21,29946.91796875
2023-10-22,30033.466796875
2023-10-23,33032.69140625
2023-10-24,33857.56640625
2023-10-25,34466.0
2023-10-26,34178.46484375
2023-10-27,33856.73828125
2023-10-28,34090.6640625
2023-10-29,34548.67578125
2023-10-30,34496.74609375
2023-10-31,34604.99609375
2023-11-01,35392.53515625
2023-11-02,34904.5703125
2023-11-03,34728.51953125
2023-11-04,35029.20703125
2023-11-05,35091.3828125
2023-11-06,35054.3515625
2023-11-07,35403.90625
2023-11-08,35732.60546875
2023-11-09,36785.46875
2023-11-10,37325.09765625
2023-11-11,37013.47265625
2023-11-12,37029.125
2023-11-13,36484.56640625
2023-11-14,35578.28125
2023-11-15,37833.76171875
2023-11-16,36158.41796875
2023-11-17,36569.80859375
2023-11-18,36617.1484375
2023-11-19,37366.6875
2023-11-20,37435.8046875
2023-11-21,35893.0546875
2023-11-22,37431.33984375
2023-11-23,37323.203125
2023-11-24,37741.12890625
2023-11-25,37830.5390625
2023-11-26,37476.0234375
2023-11-27,37225.0703125
2023-11-28,37851.375
2023-11-29,37800.97265625
2023-11-30,37742.87109375
2023-12-01,38713.71484375
2023-12-02,39447.49609375
2023-12-03,39943.26171875
2023-12-04,42005.07421875
2023-12-05,44109.28125
2023-12-06,43716.14453125
2023-12-07,43302.6640625
2023-12-08,44237.36328125
2023-12-09,43725.90625
2023-12-10,43724.7265625
2023-12-11,41296.92578125
2023-12-12,41460.8125
2023-12-13,42922.23046875
2023-12-14,43035.01171875
2023-12-15,41992.69140625
2023-12-16,42224.55859375
2023-12-17,41477.91796875
2023-12-18,42596.98046875
2023-12-19,42315.1796875
2023-12-20,43655.5546875
2023-12-21,43887.79296875
2023-12-22,43901.82421875
2023-12-23,43778.85546875
2023-12-24,43080.3203125
2023-12-25,43613.68359375
2023-12-26,42568.0546875
2023-12-27,43481.109375
2023-12-28,42584.82421875
2023-12-29,42054.77734375
2023-12-30,42211.0859375
2023-12-31,42283.3984375
2024-01-01,43985.078125
2024-01-02,44971.94140625
2024-01-03,42810.13671875
2024-01-04,44268.0859375
2024-01-05,44130.42578125
2024-01-06,43926.7265625
2024-01-07,43831.0625
2024-01-08,46916.05859375
2024-01-09,46086.62890625
2024-01-10,46616.2109375
2024-01-11,46415.921875
2024-01-12,42833.8671875
2024-01-13,42902.9765625
2024-01-14,41840.0625
2024-01-15,42611.51953125
2024-01-16,43218.1171875
2024-01-17,42644.421875
2024-01-18,41241.109375
2024-01-19,41651.83203125
2024-01-20,41709.5625
2024-01-21,41574.1796875
2024-01-22,39526.33203125
2024-01-23,39745.6640625
2024-01-24,40075.2265625
2024-01-25,39895.93359375
2024-01-26,41940.93359375
2024-01-27,42115.546875
2024-01-28,41962.44921875
2024-01-29,43208.52734375
2024-01-30,42915.421875
2024-01-31,42572.203125
2024-02-01,43005.14453125
2024-02-02,43132.83203125
2024-02-03,43017.4765625
2024-02-04,42557.08984375
2024-02-05,42541.26953125
2024-02-06,43135.48046875
2024-02-07,44239.34765625
2024-02-08,45371.8515625
2024-02-09,47246.546875
2024-02-10,47791.21875
2024-02-11,48192.3125
2024-02-12,49989.51953125
2024-02-13,49642.18359375
2024-02-14,51812.38671875
2024-02-15,51901.0390625
2024-02-16,52132.609375
2024-02-17,51720.390625
2024-02-18,52103.15625
2024-02-19,51815.05859375
2024-02-20,52286.6328125
2024-02-21,51770.6484375
2024-02-22,51365.8984375
2024-02-23,50848.890625
2024-02-24,51580.85546875
2024-02-25,51754.2421875
2024-02-26,54562.73046875
2024-02-27,56947.75390625
2024-02-28,62526.34765625
2024-02-29,61428.4140625
2024-03-01,62540.0546875
2024-03-02,61975.796875
2024-03-03,62974.8828125
2024-03-04,68215.8828125
2024-03-05,63966.06640625
2024-03-06,66145.0859375
2024-03-07,67098.09375
2024-03-08,68382.078125
2024-03-09,68522.40625
2024-03-10,68978.765625
2024-03-11,72230.5703125
2024-03-12,71278.9453125
2024-03-13,73120.1015625
2024-03-14,71444.828125
2024-03-15,69533.8125
2024-03-16,65396.359375
2024-03-17,68394.1640625
2024-03-18,67646.2109375
2024-03-19,62054.98828125
2024-03-20,67819.890625
2024-03-21,65438.43359375
2024-03-22,63568.8828125
2024-03-23,64379.4765625
2024-03-24,67277.9140625
2024-03-25,69982.9609375
2024-03-26,70094.9453125
2024-03-27,69345.015625
2024-03-28,70847.75
2024-03-29,69847.140625
2024-03-30,69663.3828125
2024-03-31,71212.7890625
2024-04-01,69769.625
2024-04-02,65559.890625
2024-04-03,66105.984375
2024-04-04,68423.25
2024-04-05,67819.390625
2024-04-06,69093.328125
2024-04-07,69440.25
2024-04-08,71710.9375
2024-04-09,69061.84375
2024-04-10,70648.9921875
2024-04-11,70074.4453125
2024-04-12,67137.109375
2024-04-13,64106.390625
2024-04-14,65658.3203125
2024-04-15,63370.90234375
2024-04-16,63763.375
2024-04-17,61277.83984375
2024-04-18,63494.72265625
2024-04-19,63853.0546875
2024-04-20,64862.04296875
2024-04-21,64928.5078125
2024-04-22,66923.375
2024-04-23,66316.0234375
2024-04-24,64199.6953125
2024-04-25,64577.50390625
2024-04-26,63822.18359375
2024-04-27,63367.3359375
2024-04-28,62994.40625
2024-04-29,63863.02734375
2024-04-30,60611.5859375
2024-05-01,58229.453125
2024-05-02,59169.36328125
2024-05-03,63002.77734375
2024-05-04,63806.984375
2024-05-05,63954.6953125
2024-05-06,63269.25
2024-05-07,62451.5078125
2024-05-08,61139.9765625
2024-05-09,63006.375
2024-05-10,60844.2109375
2024-05-11,60917.83984375
2024-05-12,61355.58203125
2024-05-13,62870.2578125
2024-05-14,61625.0703125
2024-05-15,66196.5234375
2024-05-16,65346.25390625
2024-05-17,66922.1875
2024-05-18,66990.140625
2024-05-19,66305.4609375
2024-05-20,71360.0859375
2024-05-21,70222.625
2024-05-22,69154.4609375
2024-05-23,67776.234375
2024-05-24,68653.1640625
2024-05-25,69198.9765625
2024-05-26,68444.0390625
2024-05-27,69452.8359375
2024-05-28,68421.9921875
2024-05-29,67580.640625
2024-05-30,68372.5859375
2024-05-31,67444.6015625
2024-06-01,67726.484375
2024-06-02,67827.5703125
2024-06-03,68932.4921875
2024-06-04,70621.3203125
2024-06-05,71093.1640625
2024-06-06,70814.25
2024-06-07,69334.6015625
2024-06-08,69286.15625
2024-06-09,69692.84375
2024-06-10,69543.453125
2024-06-11,67383.5234375
2024-06-12,68278.4921875
2024-06-13,66739.6953125
2024-06-14,66002.46875
2024-06-15,66141.53125
2024-06-16,66662.0546875
2024-06-17,66464.1328125
2024-06-18,65099.70703125
2024-06-19,64865.83984375
2024-06-20,64922.94140625
2024-06-21,64129.81640625
2024-06-22,64318.0625
2024-06-23,63322.5390625
2024-06-24,60167.38671875
2024-06-25,61797.5546875
2024-06-26,60798.7734375
2024-06-27,61525.5078125
2024-06-28,60222.81640625
2024-06-29,60857.828125
2024-06-30,62708.328125
2024-07-01,62829.6328125
