Date,CBBTC32994-USD
2024-09-12,58115.22265625
2024-09-13,60599.52734375
2024-09-14,60021.3828125
2024-09-15,59275.76953125
2024-09-16,58102.48046875
2024-09-17,60262.52734375
2024-09-18,61169.91796875
2024-09-19,63065.6171875
2024-09-20,62927.56640625
2024-09-21,63019.140625
2024-09-22,63594.796875
2024-09-23,63369.9609375
2024-09-24,64367.29296875
2024-09-25,63070.30078125
2024-09-26,65156.66015625
2024-09-27,65827.234375
2024-09-28,65777.65625
2024-09-29,65661.0234375
2024-09-30,63160.9609375
2024-10-01,60901.078125
2024-10-02,60732.30078125
2024-10-03,60774.2734375
2024-10-04,62274.92578125
2024-10-05,61863.8203125
2024-10-06,62810.125
2024-10-07,62514.21875
2024-10-08,62097.68359375
2024-10-09,60627.203125
2024-10-10,60148.1328125
2024-10-11,62521.93359375
2024-10-12,63232.4296875
2024-10-13,62805.52734375
2024-10-14,66085.7265625
2024-10-15,66814.6484375
2024-10-16,67738.8515625
2024-10-17,67463.8046875
2024-10-18,68414.765625
2024-10-19,68351.1640625
2024-10-20,68996.7421875
2024-10-21,67496.5625
2024-10-22,67533.359375
2024-10-23,66398.15625
2024-10-24,68144.3828125
2024-10-25,66766.9453125
2024-10-26,67099.6015625
2024-10-27,68062.671875
2024-10-28,69894.21875
2024-10-29,72655.0546875
2024-10-30,72470.4140625
2024-10-31,70308.4453125
2024-11-01,69447.40625
2024-11-02,69275.734375
2024-11-03,68779.46875
2024-11-04,67832.765625
2024-11-05,69503.5234375
2024-11-06,75609.34375
2024-11-07,75737.6796875
2024-11-08,76421.6875
2024-11-09,76521.28125
2024-11-10,80318.8046875
2024-11-11,88179.8125
2024-11-12,88326.6953125
2024-11-13,90479.8828125
2024-11-14,87631.203125
2024-11-15,91337.625
2024-11-16,90817.8046875
2024-11-17,89700.609375
2024-11-18,90250.65625
2024-11-19,92271.484375
2024-11-20,94283.8671875
2024-11-21,98475.3359375
2024-11-22,98783.0625
2024-11-23,97899.7734375
2024-11-24,97879.125
2024-11-25,93655.5
2024-11-26,91932.1328125
2024-11-27,96152.3359375
2024-11-28,95743.59375
2024-11-29,97391.5234375
2024-11-30,96574.5546875
2024-12-01,97495.4765625
2024-12-02,95554.4296875
2024-12-03,95926.3984375
2024-12-04,98978.765625
2024-12-05,96972.453125
2024-12-06,100292.375
2024-12-07,99955.8046875
2024-12-08,100893.0546875
2024-12-09,97318.109375
2024-12-10,96952.125
2024-12-11,101337.0390625
2024-12-12,100198.3671875
2024-12-13,101352.59375
2024-12-14,101302.15625
2024-12-15,103567.2265625
2024-12-16,106458.5234375
2024-12-17,106403.0859375
2024-12-18,100945.53125
2024-12-19,97787.1328125
2024-12-20,97576.5546875
2024-12-21,97086.671875
2024-12-22,95217.5546875
2024-12-23,95009.9140625
2024-12-24,98625.890625
2024-12-25,98981.140625
2024-12-26,95588.3203125
2024-12-27,94241.5546875
2024-12-28,95061.8125
2024-12-29,93395.578125
2024-12-30,92570.109375
2024-12-31,93456.0390625
2025-01-01,94550.65625
2025-01-02,96911.2265625
2025-01-03,98221.8671875
2025-01-04,98295.171875
2025-01-05,98438.90625
2025-01-06,102049.0
2025-01-07,96964.5859375
2025-01-08,94966.765625
2025-01-09,92482.15625
2025-01-10,94791.03125
2025-01-11,94646.3359375
2025-01-12,94289.1015625
2025-01-13,94328.0703125
2025-01-14,96582.109375
2025-01-15,99960.65625
2025-01-16,100013.421875
2025-01-17,104351.6953125
2025-01-18,103797.5078125
2025-01-19,103484.046875
2025-01-20,102768.5234375
2025-01-21,106180.71875
2025-01-22,103938.2421875
2025-01-23,103466.1484375
2025-01-24,105008.6953125
2025-01-25,104985.875
2025-01-26,103955.546875
2025-01-27,101680.953125
2025-01-28,101114.5234375
2025-01-29,104113.234375
2025-01-30,105149.8828125
2025-01-31,102306.90625
2025-02-01,101014.1328125
2025-02-02,97551.3828125
2025-02-03,101489.46875
2025-02-04,97473.96875
2025-02-05,96445.15625
2025-02-06,96578.765625
2025-02-07,95882.625
2025-02-08,96541.8671875
2025-02-09,96207.9921875
2025-02-10,97363.015625
2025-02-11,95879.65625
2025-02-12,97846.71875
2025-02-13,96458.6875
2025-02-14,97450.8515625
2025-02-15,97610.4296875
2025-02-16,96471.8125
2025-02-17,95847.3359375
2025-02-18,95204.59375
2025-02-19,96628.625
2025-02-20,98296.234375
2025-02-21,95636.09375
2025-02-22,96695.0
2025-02-23,95903.9375
